Config,Variables_Interes,Variables_Condicionadas,Variables_Otras,Tiempo_Promedio_ms,Tiempo_Min_ms,Tiempo_Max_ms
"I=0,C=0,O=15",0,0,15,21.1008,19.2189,23.6359
"I=0,C=1,O=14",0,1,14,10.0886,9.9243,10.2318
"I=0,C=1,O=14",0,1,14,10.6629,10.1886,11.2837
"I=0,C=1,O=14",0,1,14,10.1092,10.0279,10.2237
"I=0,C=2,O=13",0,2,13,6.0407,5.9123,6.2647
"I=0,C=2,O=13",0,2,13,5.7508,5.5916,5.9337
"I=0,C=2,O=13",0,2,13,6.1604,5.7384,6.4118
"I=0,C=3,O=12",0,3,12,3.7043,3.4366,4.0705
"I=0,C=3,O=12",0,3,12,3.4663,3.3621,3.5290
"I=0,C=3,O=12",0,3,12,3.4543,3.3281,3.6880
"I=0,C=4,O=11",0,4,11,2.5485,2.3888,2.7856
"I=0,C=4,O=11",0,4,11,2.4396,2.2214,2.5789
"I=0,C=4,O=11",0,4,11,2.3265,2.2112,2.5342
"I=0,C=5,O=10",0,5,10,2.0482,1.9929,2.0905
"I=0,C=5,O=10",0,5,10,1.6770,1.6378,1.7489
"I=0,C=5,O=10",0,5,10,1.8371,1.6559,2.0577
"I=0,C=6,O=9",0,6,9,1.7819,1.6833,1.9150
"I=0,C=6,O=9",0,6,9,1.6713,1.5959,1.7146
"I=0,C=6,O=9",0,6,9,1.5084,1.4083,1.6063
"I=0,C=7,O=8",0,7,8,1.2929,1.2148,1.4120
"I=0,C=7,O=8",0,7,8,1.2725,1.2131,1.3790
"I=0,C=7,O=8",0,7,8,1.6824,1.6573,1.7274
"I=0,C=8,O=7",0,8,7,1.1470,1.1363,1.1667
"I=0,C=8,O=7",0,8,7,1.2818,1.2779,1.2869
"I=0,C=8,O=7",0,8,7,1.5618,1.5529,1.5713
"I=0,C=9,O=6",0,9,6,1.5212,1.4901,1.5409
"I=0,C=9,O=6",0,9,6,1.5381,1.5343,1.5435
"I=0,C=9,O=6",0,9,6,1.4745,1.2892,1.5861
"I=0,C=10,O=5",0,10,5,1.4746,1.2906,1.6225
"I=0,C=10,O=5",0,10,5,1.3483,1.2764,1.4861
"I=0,C=10,O=5",0,10,5,1.4000,1.2805,1.5813
"I=0,C=11,O=4",0,11,4,1.4498,1.3079,1.6341
"I=0,C=11,O=4",0,11,4,1.3988,1.3047,1.5231
"I=0,C=11,O=4",0,11,4,1.4477,1.2994,1.6193
"I=0,C=12,O=3",0,12,3,1.4460,1.3613,1.5461
"I=0,C=12,O=3",0,12,3,1.6361,1.6029,1.6792
"I=0,C=12,O=3",0,12,3,1.4355,1.3102,1.6272
"I=0,C=13,O=2",0,13,2,1.4796,1.4460,1.5460
"I=0,C=13,O=2",0,13,2,1.5851,1.5347,1.6508
"I=0,C=13,O=2",0,13,2,1.4855,1.3171,1.6484
"I=0,C=14,O=1",0,14,1,1.3566,1.3204,1.4192
"I=0,C=14,O=1",0,14,1,1.5084,1.3130,1.6689
"I=0,C=14,O=1",0,14,1,1.4789,1.3211,1.6377
"I=0,C=15,O=0",0,15,0,1.3293,1.3277,1.3322
"I=1,C=0,O=14",1,0,14,24.3695,23.9270,24.8737
"I=1,C=0,O=14",1,0,14,24.6470,23.7096,25.2701
"I=1,C=0,O=14",1,0,14,24.8166,24.6769,25.0533
"I=1,C=1,O=13",1,1,13,12.7868,12.2504,13.1144
"I=1,C=1,O=13",1,1,13,12.6892,12.3021,13.2235
"I=1,C=1,O=13",1,1,13,12.4359,12.2446,12.6413
"I=1,C=1,O=13",1,1,13,13.0302,12.5398,13.7204
"I=1,C=1,O=13",1,1,13,13.1098,12.5476,13.6872
"I=1,C=1,O=13",1,1,13,13.0694,12.3156,13.5973
"I=1,C=1,O=13",1,1,13,12.5744,12.1822,12.7865
"I=1,C=1,O=13",1,1,13,13.3715,12.9330,13.8650
"I=1,C=1,O=13",1,1,13,12.6683,12.4040,12.8321
"I=1,C=2,O=12",1,2,12,6.9454,6.6816,7.2081
"I=1,C=2,O=12",1,2,12,6.9933,6.7340,7.2940
"I=1,C=2,O=12",1,2,12,6.8741,6.6237,7.2963
"I=1,C=2,O=12",1,2,12,7.0115,6.8331,7.3048
"I=1,C=2,O=12",1,2,12,6.9645,6.7788,7.2593
"I=1,C=2,O=12",1,2,12,7.2179,7.0993,7.3364
"I=1,C=2,O=12",1,2,12,6.9949,6.7988,7.1608
"I=1,C=2,O=12",1,2,12,7.1256,7.0270,7.2790
"I=1,C=2,O=12",1,2,12,6.8858,6.7549,7.0882
"I=1,C=3,O=11",1,3,11,4.0342,3.9208,4.1667
"I=1,C=3,O=11",1,3,11,4.1669,4.0168,4.4475
"I=1,C=3,O=11",1,3,11,4.1109,3.9165,4.3009
"I=1,C=3,O=11",1,3,11,4.3067,4.0085,4.5985
"I=1,C=3,O=11",1,3,11,4.1908,3.9644,4.4500
"I=1,C=3,O=11",1,3,11,4.0837,3.9286,4.1760
"I=1,C=3,O=11",1,3,11,4.1012,4.0191,4.1918
"I=1,C=3,O=11",1,3,11,4.1245,3.9308,4.2700
"I=1,C=3,O=11",1,3,11,4.0621,4.0074,4.1265
"I=1,C=4,O=10",1,4,10,2.6575,2.4985,2.8690
"I=1,C=4,O=10",1,4,10,2.6445,2.5382,2.8109
"I=1,C=4,O=10",1,4,10,2.6304,2.5279,2.6927
"I=1,C=4,O=10",1,4,10,3.0245,2.8583,3.1773
"I=1,C=4,O=10",1,4,10,2.8508,2.5455,3.0672
"I=1,C=4,O=10",1,4,10,2.9240,2.6489,3.1376
"I=1,C=4,O=10",1,4,10,2.9008,2.8188,3.0268
"I=1,C=4,O=10",1,4,10,2.8647,2.6462,3.0714
"I=1,C=4,O=10",1,4,10,2.8851,2.5630,3.0952
"I=1,C=5,O=9",1,5,9,1.9741,1.7992,2.2448
"I=1,C=5,O=9",1,5,9,1.8658,1.7979,1.9821
"I=1,C=5,O=9",1,5,9,2.0447,1.8018,2.1759
"I=1,C=5,O=9",1,5,9,1.9582,1.8842,2.0571
"I=1,C=5,O=9",1,5,9,1.8088,1.7791,1.8335
"I=1,C=5,O=9",1,5,9,1.8140,1.8013,1.8263
"I=1,C=5,O=9",1,5,9,2.0966,1.8441,2.4064
"I=1,C=5,O=9",1,5,9,1.8196,1.8041,1.8329
"I=1,C=5,O=9",1,5,9,1.8648,1.8199,1.9354
"I=1,C=6,O=8",1,6,8,1.6775,1.5907,1.7635
"I=1,C=6,O=8",1,6,8,1.5210,1.4414,1.6147
"I=1,C=6,O=8",1,6,8,1.5737,1.5438,1.6218
"I=1,C=6,O=8",1,6,8,1.5163,1.4432,1.5639
"I=1,C=6,O=8",1,6,8,1.5031,1.4435,1.6012
"I=1,C=6,O=8",1,6,8,1.7605,1.5737,2.0049
"I=1,C=6,O=8",1,6,8,1.6608,1.4791,1.7681
"I=1,C=6,O=8",1,6,8,1.4728,1.4463,1.5159
"I=1,C=6,O=8",1,6,8,1.7692,1.5862,1.9396
"I=1,C=7,O=7",1,7,7,1.5194,1.5098,1.5255
"I=1,C=7,O=7",1,7,7,1.3930,1.3772,1.4013
"I=1,C=7,O=7",1,7,7,1.5879,1.4941,1.6860
"I=1,C=7,O=7",1,7,7,1.2635,1.2492,1.2714
"I=1,C=7,O=7",1,7,7,1.4389,1.4019,1.5069
"I=1,C=7,O=7",1,7,7,1.6039,1.3915,1.8169
"I=1,C=7,O=7",1,7,7,1.5334,1.5283,1.5429
"I=1,C=7,O=7",1,7,7,1.6159,1.4113,1.7227
"I=1,C=7,O=7",1,7,7,1.4826,1.3713,1.6908
"I=1,C=8,O=6",1,8,6,1.3953,1.2890,1.6015
"I=1,C=8,O=6",1,8,6,1.2929,1.2833,1.3088
"I=1,C=8,O=6",1,8,6,1.4713,1.3628,1.5955
"I=1,C=8,O=6",1,8,6,1.3002,1.2954,1.3070
"I=1,C=8,O=6",1,8,6,1.3658,1.2933,1.4439
"I=1,C=8,O=6",1,8,6,1.3336,1.2952,1.4083
"I=1,C=8,O=6",1,8,6,1.5471,1.3455,1.6817
"I=1,C=8,O=6",1,8,6,1.3967,1.2841,1.6002
"I=1,C=8,O=6",1,8,6,1.5191,1.4046,1.6027
"I=1,C=9,O=5",1,9,5,1.6146,1.5764,1.6409
"I=1,C=9,O=5",1,9,5,1.3066,1.2983,1.3226
"I=1,C=9,O=5",1,9,5,1.3637,1.3031,1.4757
"I=1,C=9,O=5",1,9,5,1.3291,1.3021,1.3708
"I=1,C=9,O=5",1,9,5,1.4569,1.3250,1.6221
"I=1,C=9,O=5",1,9,5,1.6252,1.6175,1.6312
"I=1,C=9,O=5",1,9,5,1.4038,1.3168,1.5741
"I=1,C=9,O=5",1,9,5,1.4348,1.3017,1.6568
"I=1,C=9,O=5",1,9,5,1.5193,1.4248,1.6082
"I=1,C=10,O=4",1,10,4,1.4367,1.3115,1.6839
"I=1,C=10,O=4",1,10,4,1.5414,1.3879,1.6293
"I=1,C=10,O=4",1,10,4,1.6352,1.6167,1.6487
"I=1,C=10,O=4",1,10,4,1.5653,1.4184,1.6464
"I=1,C=10,O=4",1,10,4,1.3187,1.3118,1.3325
"I=1,C=10,O=4",1,10,4,1.5319,1.3358,1.6635
"I=1,C=10,O=4",1,10,4,1.3203,1.3137,1.3311
"I=1,C=10,O=4",1,10,4,1.4830,1.3144,1.6411
"I=1,C=10,O=4",1,10,4,1.4771,1.3353,1.6568
"I=1,C=11,O=3",1,11,3,1.4431,1.3117,1.6675
"I=1,C=11,O=3",1,11,3,1.5864,1.3717,1.7594
"I=1,C=11,O=3",1,11,3,1.5469,1.4111,1.6695
"I=1,C=11,O=3",1,11,3,1.3336,1.3195,1.3418
"I=1,C=11,O=3",1,11,3,1.3239,1.3189,1.3340
"I=1,C=11,O=3",1,11,3,1.5889,1.4734,1.6519
"I=1,C=11,O=3",1,11,3,1.5007,1.3181,1.6778
"I=1,C=11,O=3",1,11,3,1.4325,1.3569,1.4894
"I=1,C=11,O=3",1,11,3,1.5559,1.4478,1.6529
"I=1,C=12,O=2",1,12,2,1.6618,1.6544,1.6736
"I=1,C=12,O=2",1,12,2,1.4823,1.4133,1.5249
"I=1,C=12,O=2",1,12,2,1.3406,1.3135,1.3938
"I=1,C=12,O=2",1,12,2,1.3249,1.3190,1.3357
"I=1,C=12,O=2",1,12,2,1.3198,1.3130,1.3263
"I=1,C=12,O=2",1,12,2,1.4155,1.3421,1.4551
"I=1,C=12,O=2",1,12,2,1.3689,1.3199,1.4462
"I=1,C=12,O=2",1,12,2,1.3927,1.3210,1.4760
"I=1,C=12,O=2",1,12,2,1.6140,1.5495,1.6947
"I=1,C=13,O=1",1,13,1,1.3813,1.3231,1.4746
"I=1,C=13,O=1",1,13,1,1.5259,1.4208,1.6032
"I=1,C=13,O=1",1,13,1,1.3267,1.3197,1.3403
"I=1,C=13,O=1",1,13,1,1.3630,1.3192,1.4162
"I=1,C=13,O=1",1,13,1,1.4535,1.3431,1.6510
"I=1,C=13,O=1",1,13,1,1.4853,1.3210,1.6809
"I=1,C=13,O=1",1,13,1,1.3922,1.3192,1.5373
"I=1,C=13,O=1",1,13,1,1.3706,1.3191,1.4525
"I=1,C=13,O=1",1,13,1,1.5743,1.3256,1.7123
"I=1,C=14,O=0",1,14,0,1.4194,1.3226,1.5921
"I=1,C=14,O=0",1,14,0,1.6249,1.5525,1.6693
"I=1,C=14,O=0",1,14,0,1.6898,1.6684,1.7018
"I=2,C=0,O=13",2,0,13,28.1384,26.9317,29.6750
"I=2,C=0,O=13",2,0,13,27.0573,26.8006,27.3552
"I=2,C=0,O=13",2,0,13,27.5918,26.9662,28.4877
"I=2,C=1,O=12",2,1,12,14.5590,14.3768,14.6617
"I=2,C=1,O=12",2,1,12,14.3235,13.8487,14.6641
"I=2,C=1,O=12",2,1,12,13.9066,13.7406,14.2171
"I=2,C=1,O=12",2,1,12,14.5909,14.2567,14.8848
"I=2,C=1,O=12",2,1,12,13.7931,13.7148,13.9319
"I=2,C=1,O=12",2,1,12,13.9176,13.6322,14.3356
"I=2,C=1,O=12",2,1,12,14.5416,13.9811,15.5434
"I=2,C=1,O=12",2,1,12,14.3790,14.0988,14.6758
"I=2,C=1,O=12",2,1,12,13.5800,13.4024,13.9194
"I=2,C=2,O=11",2,2,11,7.5484,7.4820,7.6031
